Top Designator;Comment;Footprint;Part # ;Manufacturer;Footprint;Description;JLCPCB Part #
MK1,MK2;T3902;MIC_T3902;MMICT390200012;TDK InvenSense;-;Omni-directional -32dB 64dB -  MEMS Microphones ROHS;C3171752
POWER_IN2;FH34SRJ-10S-0.5SH_50_;HRS_FH34SRJ-10S-0.5SH_50_;FH34SRJ-10S-0.5SH(50);HRS(Hirose);SMD,P=0.5mm,??;-55?~+105? 10P Dual-sided contacts / top and bottom connection Horizontal attachment 0.5mm SMD,P=0.5mm,Surface Mount?Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS;C324723
Q1;LBSS138WT1G;SC-70-3_L2.1-W1.3-P0.65-LS2.1-BR;LBSS138WT1G;LRC;SC-70;50V 200mA 3.5?@5V,200mA 150mW 1.5V 1 N-Channel SC-70 MOSFETs ROHS;C383201
Q2;BC847B;SOT-23;BC847B;hongjiacheng;SOT-23;45V 200mW 200@2.0mA,5.0V 100mA NPN SOT-23  Bipolar (BJT) ROHS;C20069135
R1,R108,R2,R22,R3,R30,R76,R77;100k;402;RC0603FR-07100KL;YAGEO;603;100mW Thick Film Resistors 75V ±100ppm/? ±1% 100k? 0603 Chip Resistor - Surface Mount ROHS;C14675
R8;210k;603;0603WAF2103T5E;UNI-ROYAL(Uniroyal Elec);603;100mW Thick Film Resistors 75V ±100ppm/? ±1% 210k? 0603 Chip Resistor - Surface Mount ROHS;C22952
R9;40k;603;RT0603BRD0740KL;YAGEO;603;100mW Thin Film Resistor ±25ppm/? ±0.1% 40k? 0603  Chip Resistor - Surface Mount ROHS;C861392
R10,R11,R12,R13,R51,R6;100R;402;0402WGF1000TCE;UNI-ROYAL(Uniroyal Elec);402;62.5mW Thick Film Resistors 50V ±1% ±200ppm/? 100? 0402 Chip Resistor - Surface Mount ROHS;C25076
R14,R23,R24,R5;10k;402;0402WGF1002TCE;UNI-ROYAL(Uniroyal Elec);402;62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 10k? 0402 Chip Resistor - Surface Mount ROHS;C25744
R15,R17;0R;402;0402WGF0000TCE;UNI-ROYAL(Uniroyal Elec);402;62.5mW Thick Film Resistors 50V ±800ppm/? ±1% 0? 0402 Chip Resistor - Surface Mount ROHS;C17168
R16;499R;402;RC0402FR-07499RL;YAGEO;402;62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 499? 0402 Chip Resistor - Surface Mount ROHS;C137970
R18,R19;22R;402;0402WGF220JTCE;UNI-ROYAL(Uniroyal Elec);402;62.5mW Thick Film Resistors 50V ±1% ±100ppm/? 22? 0402 Chip Resistor - Surface Mount ROHS;C25092
R20,R21;5.1k;402;0402WGF5101TCE;UNI-ROYAL(Uniroyal Elec);402;62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 5.1k? 0402 Chip Resistor - Surface Mount ROHS;C25905
R25,R26,R27,R28,R50;4.7k;402;0402WGF4701TCE;UNI-ROYAL(Uniroyal Elec);402;62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 4.7k? 0402 Chip Resistor - Surface Mount ROHS;C25900
R29,R4,R55;47k;402;0402WGF4702TCE;UNI-ROYAL(Uniroyal Elec);402;62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 47k? 0402 Chip Resistor - Surface Mount ROHS;C25792
R31;680R;402;0402WGF6800TCE;UNI-ROYAL(Uniroyal Elec);402;62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 680? 0402 Chip Resistor - Surface Mount ROHS;C25130
R32;1M;402;0402WGF1004TCE;UNI-ROYAL(Uniroyal Elec);402;62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 1M? 0402 Chip Resistor - Surface Mount ROHS;C26083
R44,R7;49.9R;603;0603WAF499JT5E;UNI-ROYAL(Uniroyal Elec);603;100mW Thick Film Resistors 75V ±100ppm/? ±1% 49.9? 0603 Chip Resistor - Surface Mount ROHS;C23185
R46;100k;603;0603WAF1003T5E;UNI-ROYAL(Uniroyal Elec);603;100mW Thick Film Resistors 75V ±100ppm/? ±1% 100k? 0603 Chip Resistor - Surface Mount ROHS;C25803
R47;22.1k;603;0603WAF2212T5E;UNI-ROYAL(Uniroyal Elec);603;100mW Thick Film Resistors 75V ±100ppm/? ±1% 22.1k? 0603 Chip Resistor - Surface Mount ROHS;C25961
R52;1k;402;0402WGF1001TCE;UNI-ROYAL(Uniroyal Elec);402;62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 1k? 0402 Chip Resistor - Surface Mount ROHS;C11702
R53;470k;402;0402WGJ0474TCE;UNI-ROYAL(Uniroyal Elec);402;62.5mW Thick Film Resistors 50V ±100ppm/? ±5% 470k? 0402 Chip Resistor - Surface Mount ROHS;C25562
R54;3.3k;402;0402WGF3301TCE;UNI-ROYAL(Uniroyal Elec);402;62.5mW Thick Film Resistors 50V ±100ppm/? ±1% 3.3k? 0402 Chip Resistor - Surface Mount ROHS;C25890
U1,U3;TPS62130;VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias;TPS62130RGTR;Texas Instruments;QFN-16-EP(3x3);Step-down type Adjustable 900mV~6V 3A 3V~17V QFN-16-EP(3x3) DC-DC Converters ROHS;C43590
U2;MIC5365-1.8YC5-TR;SOT65P210X110-5N;MIC5365-1.8YC5-TR;Microchip Tech;SC-70-5;150mA Fixed 1.8V Positive electrode 5.5V SC-70-5  Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS;C626087
U5;ESP32-S3R8;QFN40P700X700X90-57N;ESP32-S3R8;Espressif Systems;QFN-56(7x7);150Mbps 2.412GHz~2.484GHz I2C,I2S,SPI,UART,USB QFN-56(7x7)  RF Transceiver ICs ROHS;C2913194
U6,U8;W25Q128JVSIQ;SOIC-8_5.3x5.3mm_P1.27mm;W25Q128JVSIQ;Winbond Elec;SOIC-8-208mil;128Mbit SOIC-8-208mil NOR FLASH ROHS;C97521
U9;TLV73333PDBVR;TLV73333PDBVR;TLV73333PDBVR;Texas Instruments;SOT-23-5;300mA 68dB Fixed 3.3V Positive electrode 5.5V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS;C134139
U10;SN74LVC125APWR;SOP65P640X120-14N;SN74LVC125APWR;Texas Instruments;TSSOP-14;1 24mA 1.65V~3.6V 24mA 4 TSSOP-14 Buffers, Drivers, Receivers, Transceivers ROHS;C7813
U11;MAX98357AETE_T;max98357aete;MAX98357AETE+T;Analog Devices Inc./Maxim Integrated;TQFN-16-EP(3x3);Monaural 3.2Wx2@4? TQFN-16-EP(3x3) Audio Amplifiers ROHS;C910544
U12;FSUSB42MUX;MSOP-10_3x3mm_P0.5mm;FSUSB42MUX;onsemi;MSOP-10;6.5? MSOP-10 Analog Switches, Multiplexers ROHS;C11355
U13;AP22802AW5-7;SOT-23-5;AP22802AW5-7;Diodes Incorporated;SOT-25-5;2.7V~5.5V 50m? 2A 1 SOT-25-5 Power Distribution Switches ROHS;C211404
Y1;40MHz;Crystal_SMD_3225-4Pin_3.2x2.5mm;7M40000005;TXC Corp;SMD3225-4P;40MHz Surface Mount Crystal 10pF ±10ppm -15ppm~+5ppm SMD3225-4P Crystals ROHS;C90924
Y2;24MHz;Crystal_SMD_3225-4Pin_3.2x2.5mm;X322524MOB4SI;YXC Crystal Oscillators;SMD3225-4P;24MHz Surface Mount Crystal 12pF ±10ppm ±20ppm SMD3225-4P Crystals ROHS;C70590
SW1;CHS-01TA;CHS-01TA;CHS-01TA;Nidec;-;1 Digit SPST 6V 100mA -  DIP Switches ROHS;C2921603
U7;XU316-1024-QF60B-C24;XU316-1024-QF60B-C24;XU316-1024-QF60B-C24;XMOS;QFN-60(7x7);855mV~945mV 34 QFN-60(7x7)  Microcontrollers (MCU/MPU/SOC) ROHS;C6617472
D11,D12,D3,D4,D5,D6,D7,D8,D9;PESD0402V05;402;PESD0402V05;DOWO;402;40V Bidirectional 5V 0402 ESD and Surge Protection (TVS/ESD) ROHS;
J2;usb_c;usb_c;2345986-1;TE Connectivity;;USB TYPE C 3.1 TOP MOUNT DUAL SMT 1.63CH;
U4;MIC5365-0.9YC5-TR;SOT65P210X110-5N;MIC5365-0.9YC5-TR;Texas Instruments;QFN-16-EP(3x3);SC-70-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS;
